County,Year,Precipitation
,,
Bernalillo,2022,11
,,
Catron,2022,18
,,
Chaves,2022,12
,,
Cibola,2022,13
,,
Colfax,2022,14
,,
Curry,2022,10
,,
De Baca,2022,11
,,
Dona Ana,2022,9
,,
Eddy,2022,9
,,
Grant,2022,20
,,
Guadalupe,2022,11
,,
Harding,2022,12
,,
Hidalgo,2022,8
,,
Lea,2022,7
,,
Lincoln,2022,22
,,
Los Alamos,2022,14
,,
Luna,2022,9
,,
McKinley,2022,8
,,
Mora,2022,10
,,
Otero,2022,19
,,
Quay,2022,9
,,
Rio Arriba,2022,16
,,
Roosevelt,2022,11
,,
Sandoval,2022,10
,,
San Juan,2022,8
,,
San Miguel,2022,13
,,
Santa Fe,2022,14
,,
Sierra,2022,15
,,
Socorro,2022,11
,,
Taos,2022,18
,,
Torrance,2022,18
,,
Union,2022,12
,,
Valencia,2022,9
<div>Overall</div>,,.
